State,Industry,Series ID,Month,Turnover
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1986 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1987 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Apr,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 May,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Jun,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Jul,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Aug,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Sep,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Oct,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Nov,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1988 Dec,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Jan,1.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Feb,1.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Mar,2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Apr,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 May,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Jun,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Jul,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Aug,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Sep,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Oct,2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Nov,1.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1989 Dec,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Jan,1.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Feb,1.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Mar,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Apr,1.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 May,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Jun,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Jul,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Aug,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Sep,2.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Oct,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Nov,2.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1990 Dec,3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Jan,2.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Feb,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Mar,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Apr,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 May,2.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Jun,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Jul,2.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Aug,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Sep,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Oct,2.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Nov,2.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1991 Dec,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Jan,2.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Feb,1.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Mar,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Apr,2.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 May,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Jun,3.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Jul,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Aug,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Sep,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Oct,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Nov,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1992 Dec,4.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Jan,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Feb,2.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Mar,3.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Apr,2.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 May,3.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Jun,3.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Jul,3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Aug,3.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Sep,3.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Oct,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Nov,4.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1993 Dec,3.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Jan,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Feb,3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Mar,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Apr,2.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 May,3.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Jun,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Jul,3.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Aug,3.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Sep,3.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Oct,3.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Nov,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1994 Dec,3.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Jan,2.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Feb,3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Mar,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Apr,2.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 May,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Jun,4.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Jul,3.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Aug,4.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Sep,3.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Oct,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Nov,4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1995 Dec,4.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Jan,3.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Feb,3.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Mar,3.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Apr,3.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 May,3.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Jun,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Jul,4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Aug,4.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Sep,4.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Oct,4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Nov,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1996 Dec,4.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Jan,3.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Feb,3.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Mar,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Apr,4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 May,4.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Jun,4.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Jul,4.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Aug,3.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Sep,3.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Oct,4.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Nov,4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1997 Dec,4.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Jan,3.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Feb,4.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Mar,4.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Apr,4.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 May,5.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Jun,5.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Jul,4.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Aug,4.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Sep,4.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Oct,5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Nov,4.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1998 Dec,4.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Jan,4.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Feb,4.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Mar,4.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Apr,4.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 May,5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Jun,5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Jul,4.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Aug,4.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Sep,5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Oct,4.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Nov,5.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1999 Dec,5.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Jan,4.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Feb,4.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Mar,5.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Apr,5.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 May,5.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Jun,6.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Jul,5.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Aug,5.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Sep,5.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Oct,5.5
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Nov,5.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2000 Dec,5.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Jan,5.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Feb,4.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Mar,4.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Apr,4.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 May,5.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Jun,6.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Jul,5.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Aug,6.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Sep,5.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Oct,6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Nov,5.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2001 Dec,6.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Jan,5.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Feb,5.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Mar,5.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Apr,6.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 May,6.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Jun,6.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Jul,5.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Aug,5.9
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Sep,6.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Oct,5.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Nov,5.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2002 Dec,6.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Jan,5.7
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Feb,5.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Mar,5.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Apr,5.2
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 May,5.8
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Jun,6.6
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Jul,6.3
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Aug,6.4
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Sep,6.1
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,2003 Oct,6.1
